nombre,estado,municipio,ciudad,cp,lat,lon
Avenida Tankah,Quintana Roo,,Cancún,77509,21.1635212,-86.8344141
Avenida Uxmal,Quintana Roo,,Cancún,77509,21.1668006,-86.8325219
Calle Chiabal,Quintana Roo,,Cancún,77509,21.1603066,-86.8301879
Avenida Sunyaxchen,Quintana Roo,,Cancún,77500,21.1624802,-86.8301438
Chiabal,Quintana Roo,,Cancún,77509,21.1593676,-86.8297231
Avenida Yaxchilán,Quintana Roo,,Cancún,77500,21.162769,-86.8291804
Avenida Yaxchilán,Quintana Roo,,Cancún,77500,21.1617486,-86.8290417
Avenida Yaxchilán,Quintana Roo,,Cancún,77500,21.1605641,-86.8289964
Avenida Paseo Xaman-Ha,Quintana Roo,,Playa del Carmen,77710,20.6082438,-87.09055377293359
Avenida Paseo Xaman-Ha,Quintana Roo,,Playa del Carmen,77717,20.60878145,-87.08871208762423
Avenida Paseo Xaman-Ha,Quintana Roo,,Playa del Carmen,77710,20.6087437,-87.0885689
Avenida Paseo Xaman-Ha,Quintana Roo,,Playa del Carmen,77717,20.60765225,-87.08925897316436
Avenida Paseo Xaman-Ha,Quintana Roo,,Playa del Carmen,77710,20.609333,-87.09280223522703
Avenida Paseo Xaman-Ha,Quintana Roo,,Playa del Carmen,77717,20.6068661,-87.0898595
Paseo Xaman-Ha,Quintana Roo,,Playa del Carmen,77717,20.608148399999997,-87.09308800278373
Avenida Paseo Xaman-Ha,Quintana Roo,,Playa del Carmen,77710,20.6064686,-87.09047206645081
Avenida Paseo Xaman-Ha,Quintana Roo,,Playa del Carmen,77710,20.6078707,-87.0931913
Avenida Paseo Xaman-Ha,Quintana Roo,,Playa del Carmen,77717,20.6095069,-87.0872386
Calle Del Mar,Baja California,Municipio de Playas de Rosarito,Rosarito,22715,32.3501931,-117.06099869431486
Calle General Guadalupe Victoria,Baja California,Municipio de Playas de Rosarito,Rosarito,22715,32.3609681,-117.0630047
Calle Paseo Las Flores,Baja California,Municipio de Playas de Rosarito,Rosarito,22703,32.36286525,-117.05059343278819
Calle del Cedro,Baja California,Municipio de Playas de Rosarito,Rosarito,22710,32.3448352,-117.0597212
Calle del Ébano,Baja California,Municipio de Playas de Rosarito,Rosarito,22700,32.3443501,-117.0611248
Boulevard Benito Juárez García,Baja California,Municipio de Playas de Rosarito,Rosarito,22700,32.343828099999996,-117.05758362050348
Estacionamiento Pabellon.,Baja California,Municipio de Playas de Rosarito,Rosarito,22703,32.375437250000004,-117.06074574392599
Calle Costa Azul,Baja California,Municipio de Playas de Rosarito,Rosarito,22700,32.34088265,-117.05885762970954
Boulevard Benito Juárez García,Baja California,Municipio de Playas de Rosarito,Rosarito,22700,32.3405131,-117.05682291412026
Calle Mar Adriático,Baja California,Municipio de Playas de Rosarito,Rosarito,22700,32.3398847,-117.05779223887032
Avenida Eduardo Mata,Oaxaca,Oaxaca de Juárez,Oaxaca,68120,17.0520006,-96.7200662
Calle del 20 de Noviembre,Oaxaca,Oaxaca de Juárez,Oaxaca,68153,17.054446,-96.7284071
Calle de Flores Magón,Oaxaca,Oaxaca de Juárez,Oaxaca,68000,17.0562141,-96.7266651
Calle de Xicoténcatl,Oaxaca,Oaxaca de Juárez,Oaxaca,68000,17.056908,-96.7216954
Calle del 20 de Noviembre,Oaxaca,Oaxaca de Juárez,Oaxaca,68000,17.0563615,-96.7278063
Calle de Ignacio López Rayón,Oaxaca,Oaxaca de Juárez,Oaxaca,68000,17.0573244,-96.7213717
Calle de Flores Magón,Oaxaca,Oaxaca de Juárez,Oaxaca,68274,17.0577218,-96.7265296
Calle de Armenta y López,Oaxaca,Oaxaca de Juárez,Oaxaca,68000,17.0582619,-96.7244228
Calle de Carlos María Bustamante,Oaxaca,Oaxaca de Juárez,Oaxaca,68000,17.0583608,-96.7254119
Calle de Gustavo Díaz Ordáz,Oaxaca,Oaxaca de Juárez,Oaxaca,68000,17.0563647,-96.7298146
Calle Arroyo Verde,Guanajuato,Municipio de Guanajuato,,36259,20.9809477,-101.29019053431412
Guanajuato-Silao,Guanajuato,Municipio de Guanajuato,Guanajuato,36250,20.985147,-101.28840743699305
Calle Iturbide,Guanajuato,San Luis de la Paz,,37906,21.2960223,-100.521889
Calle tres Marías,Guanajuato,Municipio de Guanajuato,,36255,20.9871838,-101.2845926
Boulevard Euquerio Guerrero,Guanajuato,Municipio de Guanajuato,Guanajuato,36250,20.9879493,-101.2863304
Euquerio Guerrero,Guanajuato,Municipio de Guanajuato,,36053,21.0090666,-101.2731962
Privada Nejayote,Guanajuato,Municipio de Guanajuato,Guanajuato,36086,21.0160962,-101.26667
Carretera Guanajuato-Juventino Rosas,Guanajuato,Municipio de Guanajuato,Guanajuato,36228,20.9392737,-101.2439274
Callejón de Zaragoza,Guanajuato,Municipio de Guanajuato,Guanajuato,36000,21.0072593,-101.25147861647336
Privada Cerro de San Miguel,Guanajuato,Municipio de Guanajuato,Guanajuato,36080,21.013779999999997,-101.25574895231017
Avenida Farallón del Obispo,Guerrero,Acapulco de Juárez,Acapulco,39300,16.8643678,-99.8691547
Calle Martín Alonso Pinzón,Guerrero,Acapulco de Juárez,Acapulco,39300,16.8625147,-99.87432421314224
Calle Francisco Pizarro,Guerrero,Acapulco de Juárez,Acapulco,39300,16.8626969,-99.8749807684323
Calle Doctor Ignacio Chávez,Guerrero,Acapulco de Juárez,Acapulco,39300,16.863938,-99.8770577
5 Avenida Norte,Quintana Roo,Cozumel,San Miguel de Cozumel,77668,20.5126311,-86.9470889
Calle 4 Norte,Quintana Roo,Cozumel,San Miguel de Cozumel,77622,20.5121553,-86.9476945
Calle 2 Norte,Quintana Roo,Cozumel,San Miguel de Cozumel,77668,20.5102671,-86.9469912
5a Av. Sur,Quintana Roo,Cozumel,San Miguel de Cozumel,77667,20.5102692,-86.949012
10 Avenida Norte,Quintana Roo,Cozumel,San Miguel de Cozumel,77668,20.5100322,-86.9480594
Calle 2 Norte,Quintana Roo,Cozumel,San Miguel de Cozumel,77668,20.5095159,-86.9461159
Calle 2 Norte,Quintana Roo,Cozumel,San Miguel de Cozumel,77668,20.5088634,-86.9454175
Calle 10 Norte,Quintana Roo,Cozumel,San Miguel de Cozumel,77600,20.5114214,-86.9423955
5 Avenida Sur,Quintana Roo,Cozumel,San Miguel de Cozumel,77667,20.5077528,-86.9513653
Calle 5 Sur,Quintana Roo,Cozumel,San Miguel de Cozumel,77667,20.5075637,-86.9523301
Calle Nueva Reforma,Baja California Sur,Municipio de La Paz,La Paz,23090,24.1476876,-110.3371479
La Paz,Baja California Sur,Municipio de La Paz,La Paz,,24.2180753,-110.3013538
Callejón Topete,Baja California Sur,Municipio de La Paz,La Paz,23060,24.1476422,-110.3302066
