cp,cod_mun
11920,9016
11930,9016
11950,9016
12000,9009
12070,9009
12080,9009
12100,9009
12110,9009
12200,9009
12250,9009
12300,9009
12400,9009
12410,9009
12500,9009
12600,9009
12700,9009
12800,9009
12910,9009
12920,9009
12930,9009
12940,9009
12950,9009
13000,9011
13010,9011
13020,9011
13030,9011
13040,9011
13050,9011
13060,9011
13070,9011
13080,9011
13090,9011
13093,9011
13094,9011
13099,9011
13100,9011
13120,9011
13150,9011
13180,9011
13200,9011
13210,9011
13219,9011
13220,9011
13230,9011
13250,9011
13270,9011
13273,9011
13278,9011
13280,9011
13300,9011
13310,9011
13315,9011
13319,9011
13360,9011
13400,9011
13410,9011
13419,9011
13420,9011
13430,9011
13440,9011
13450,9011
13460,9011
13508,9011
13509,9011
13510,9011
13520,9011
13530,9011
13540,9011
13545,9011
13549,9011
13550,9011
13600,9011
13610,9011
13625,9011
13630,9011
13640,9011
13700,9011
14000,9012
14010,9012
14020,9012
14030,9012
14039,9012
14040,9012
14049,9012
14050,9012
14060,9012
14070,9012
14080,9012
14090,9012
14100,9012
14108,9012
14110,9012
14120,9012
14140,9012
14150,9012
14160,9012
14200,9012
14208,9012
14209,9012
14210,9012
14219,9012
14220,9012
14230,9012
14239,9012
14240,9012
14248,9012
14250,9012
14260,9012
14266,9012
14267,9012
14268,9012
14269,9012
14270,9012
14275,9012
14300,9012
14308,9012
14310,9012
14320,9012
14325,9012
14326,9012
14330,9012
14340,9012
14350,9012
14357,9012
14360,9012
14370,9012
14376,9012
14377,9012
14380,9012
14386,9012
14387,9012
14388,9012
14389,9012
14390,9012
14400,9012
14406,9012
14408,9012
14409,9012
14410,9012
14420,9012
14426,9012
14427,9012
14429,9012
14430,9012
14438,9012
14439,9012
14440,9012
14449,9012
14456,9012
14460,9012
14470,9012
14476,9012
14479,9012
14480,9012
14490,9012
14500,9012
14600,9012
14608,9012
14609,9012
14610,9012
14620,9012
14629,9012
14630,9012
14640,9012
14643,9012
14646,9012
14647,9012
14650,9012
14653,9012
14654,9012
14655,9012
14657,9012
14658,9012
14659,9012
14700,9012
14710,9012
14720,9012
14730,9012
14734,9012
14735,9012
14737,9012
14738,9012
14739,9012
14740,9012
14748,9012
14749,9012
14760,9012
14900,9012
15000,9017
15010,9017
15020,9017
15100,9017
15200,9017
15210,9017
15220,9017
15230,9017
15240,9017
15250,9017
15260,9017
15270,9017
15280,9017
15290,9017
15300,9017
15309,9017
15310,9017
15320,9017
15330,9017
15339,9017
15340,9017
15350,9017
15370,9017
15380,9017
15390,9017
15400,9017
15410,9017
15420,9017
15430,9017
15440,9017
15450,9017
15460,9017
15470,9017
15500,9017
15510,9017
15520,9017
15530,9017
15540,9017
15600,9017
15610,9017
15620,9017
15630,9017
15640,9017
15650,9017
15660,9017
15670,9017
15680,9017
15700,9017
15710,9017
15730,9017
15740,9017
15750,9017
15800,9017
15810,9017
15820,9017
15830,9017
15840,9017
15850,9017
15860,9017
15870,9017
15900,9017
15960,9017
15970,9017
15980,9017
15990,9017
16000,9013
16010,9013
16020,9013
16029,9013
16030,9013
16034,9013
16035,9013
16036,9013
16038,9013
16040,9013
16050,9013
16059,9013
16060,9013
16070,9013
16080,9013
16083,9013
16090,9013
16100,9013
16200,9013
16210,9013
16240,9013
16300,9013
16310,9013
16320,9013
16340,9013
16400,9013
16410,9013
16420,9013
16428,9013
16429,9013
16430,9013
16440,9013
16443,9013
16450,9013
16457,9013
16459,9013
16500,9013
16513,9013
16514,9013
16520,9013
16530,9013
16533,9013
16550,9013
16600,9013
16604,9013
16605,9013
16606,9013
16607,9013
16609,9013
16610,9013
16614,9013
16615,9013
16616,9013
16617,9013
16620,9013
16629,9013
16630,9013
16640,9013
16710,9013
16720,9013
16739,9013
16740,9013
16749,9013
16750,9013
16770,9013
16776,9013
16780,9013
16797,9013
16799,9013
16800,9013
16810,9013
16813,9013
16840,9013
16850,9013
16860,9013
16880,9013
16900,9013
20000,1001
20010,1001
20016,1001
20018,1001
20020,1001
20029,1001
20030,1001
20040,1001
20049,1001
20050,1001
20059,1001
20060,1001
20064,1001
20070,1001
20078,1001
20080,1001
20089,1001
20100,1001
20110,1001
20115,1001
20116,1001
20118,1001
20119,1001
20120,1001
20123,1001
20124,1001
20126,1001
20127,1001
20128,1001
20129,1001
20130,1001
20135,1001
20136,1001
20137,1001
20138,1001
20140,1001
20146,1001
20149,1001
20150,1001
